日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2016-03-15,中度污染,176,354,135,189,44,76,1.54,25
2016-03-16,严重污染,295,361,244,274,37,88,2.19,51
2016-03-17,严重污染,338,362,287,291,30,99,2.25,49
2016-03-18,重度污染,220,342,181,132,12,64,1.51,60
2016-03-19,良,91,181,61,111,15,41,1.01,55
2016-03-20,良,86,188,62,103,9,58,0.98,42
2016-03-21,中度污染,157,351,119,174,18,76,1.22,56
2016-03-22,中度污染,155,353,107,202,24,73,1.39,34
2016-03-23,优,44,95,16,39,3,24,0.49,64
2016-03-24,优,34,35,11,23,2,27,0.41,60
2016-03-25,优,38,19,15,31,3,32,0.44,59
2016-03-26,优,36,8,11,29,3,25,0.39,64
2016-03-27,优,41,15,14,40,4,32,0.38,57
2016-03-28,轻度污染,139,356,69,188,15,65,0.8,38
2016-03-29,良,61,63,17,69,4,28,0.39,68
2016-03-30,良,55,50,26,68,7,37,0.54,61
2016-03-31,中度污染,199,358,150,240,33,72,1.45,62
2016-04-01,轻度污染,106,265,39,142,5,25,0.46,65
2016-04-02,优,37,23,7,27,2,15,0.27,72
2016-04-03,优,47,78,17,50,2,23,0.31,69
2016-04-04,良,96,340,70,109,10,46,0.58,68
2016-04-05,轻度污染,149,359,112,152,17,49,0.97,80
2016-04-06,中度污染,175,355,136,171,30,67,1.97,53
2016-04-07,轻度污染,133,339,86,139,4,43,1.07,55
2016-04-08,良,67,202,21,83,4,28,0.34,72
2016-04-09,中度污染,167,335,72,244,10,53,0.7,48
2016-04-10,轻度污染,123,327,52,193,12,40,0.78,58
2016-04-11,良,76,221,39,100,8,39,0.58,60
2016-04-12,轻度污染,102,302,76,76,5,56,0.76,36
2016-04-13,中度污染,161,344,118,148,6,62,0.94,51
2016-04-14,良,74,168,30,96,2,24,0.33,81
2016-04-15,良,81,233,55,97,15,57,1.0,47
2016-04-16,良,64,239,32,78,2,19,0.34,60
2016-04-17,优,43,63,14,33,2,14,0.28,81
2016-04-18,优,43,63,17,32,2,20,0.3,76
2016-04-19,良,97,343,70,99,18,63,1.29,30
2016-04-20,良,91,309,66,85,7,40,0.85,73
2016-04-21,轻度污染,142,333,96,159,6,57,0.93,67
2016-04-22,良,80,225,33,108,2,19,0.24,87
2016-04-23,优,50,121,21,54,2,27,0.31,68
2016-04-24,轻度污染,117,322,84,146,20,52,0.88,70
2016-04-25,轻度污染,121,348,90,143,13,33,0.73,107
2016-04-26,轻度污染,103,338,76,127,24,42,1.36,96
2016-04-27,轻度污染,118,350,88,107,9,59,1.07,63
2016-04-28,轻度污染,121,351,83,89,6,48,0.97,92
