日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-12-17,优,49,107,21,54,36,47,1.2,12
2015-12-18,良,62,135,34,74,45,55,1.42,18
2015-12-19,良,89,202,57,118,81,70,2.86,7
2015-12-20,轻度污染,149,272,112,174,91,93,3.57,5
2015-12-21,中度污染,195,272,150,218,78,101,3.72,7
2015-12-22,重度污染,220,290,173,245,54,89,2.77,6
2015-12-23,严重污染,268,309,217,307,60,101,3.84,11
2015-12-24,轻度污染,104,215,71,115,46,45,1.35,25
2015-12-25,中度污染,171,289,129,199,60,86,3.77,9
2015-12-26,良,82,165,47,93,25,33,1.35,29
2015-12-27,优,49,92,24,54,41,32,1.14,19
2015-12-28,良,90,190,64,117,57,53,2.44,10
2015-12-29,重度污染,211,329,164,250,94,95,4.23,7
2015-12-30,轻度污染,120,190,89,133,58,50,1.76,13
2015-12-31,良,86,128,58,103,59,45,2.5,10
2016-01-01,中度污染,170,287,130,192,90,95,3.6,8
2016-01-02,中度污染,181,271,139,207,84,83,3.2,19
2016-01-03,良,64,62,41,73,44,42,0.96,29
2016-01-04,良,83,147,58,104,69,54,2.07,17
2016-01-05,优,45,59,18,49,38,41,1.24,22
2016-01-06,良,59,123,32,70,52,44,1.75,19
2016-01-07,良,60,142,32,71,53,45,1.76,17
2016-01-08,优,47,69,21,50,42,43,1.36,23
2016-01-09,良,65,115,38,78,53,56,2.16,17
2016-01-10,优,43,55,18,44,26,25,0.91,35
2016-01-11,优,46,104,22,50,36,34,1.26,28
2016-01-12,良,62,193,35,73,52,46,1.73,19
2016-01-13,良,53,102,23,58,35,40,1.32,24
2016-01-14,良,57,83,24,65,35,42,1.41,26
2016-01-15,良,88,169,58,112,64,46,2.16,27
2016-01-16,良,68,122,43,76,33,25,0.87,45
2016-01-17,良,55,110,35,58,24,25,0.95,43
2016-01-18,优,41,58,21,42,28,31,0.98,33
2016-01-19,优,39,27,19,39,31,34,0.89,30
2016-01-20,良,52,57,29,53,45,37,0.92,24
2016-01-21,良,61,178,38,68,58,39,0.97,23
2016-01-22,良,57,173,34,62,46,32,0.91,30
2016-01-23,优,30,37,11,28,14,17,0.57,40
